mpg,cylinders,displayments,horsepower,weight,acceleration,model year,origin,car name,outlier,car brand,model,anomaly_score,multivariate_outlier,car_name_encoded
30.0,4.0,87.99999999999999,76.0,2065.0,14.5,71,2,fiat 124b,Normal,fiat,124b,1,Normal,9
31.0,4.0,71.0,65.0,1773.0,19.0,71,3,toyota corolla 1200,Normal,toyota,corolla 1200,1,Normal,24
35.0,4.0,72.0,69.0,1613.0,18.0,71,3,datsun 1200,Normal,datsun,1200,1,Normal,7
27.0,4.0,97.0,60.0,1834.0,19.0,71,2,volkswagen model 111,Normal,volkswagen,model 111,1,Normal,26
26.0,4.0,91.0,70.0,1955.0,20.5,71,1,plymouth cricket,Normal,plymouth,cricket,1,Normal,19
24.0,4.0,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop,Normal,toyota,corona hardtop,1,Normal,24
25.0,4.0,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop,Normal,dodge,colt hardtop,1,Normal,8
20.0,4.0,140.0,90.0,2408.0,19.5,72,1,chevrolet vega,Normal,chevrolet,vega,1,Normal,5
21.0,4.0,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout,Normal,ford,pinto runabout,1,Normal,10
13.0,8.0,350.0,165.0,4274.0,12.0,72,1,chevrolet impala,Normal,chevrolet,impala,1,Normal,5
14.0,8.0,400.0,175.0,4385.0,12.0,72,1,pontiac catalina,Normal,pontiac,catalina,1,Normal,20
15.0,8.0,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii,Normal,plymouth,fury iii,1,Normal,19
14.0,8.0,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500,Normal,ford,galaxie 500,1,Normal,10
17.0,8.0,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst,Normal,amc,ambassador sst,1,Normal,0
13.0,8.0,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom,Normal,buick,lesabre custom,1,Normal,3
12.0,8.0,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale,Normal,oldsmobile,delta 88 royale,1,Normal,16
13.0,8.0,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal,Normal,chrysler,newport royal,1,Normal,6
19.0,3.0,70.0,97.0,2330.0,13.5,72,3,mazda rx2 coupe,Normal,mazda,rx2 coupe,1,Normal,12
15.0,8.0,304.0,150.0,3892.0,12.5,72,1,amc matador (sw),Normal,amc,matador (sw),1,Normal,0
13.0,8.0,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw),Normal,chevrolet,chevelle concours (sw),1,Normal,5
13.0,8.0,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw),Normal,ford,gran torino (sw),1,Normal,10
14.0,8.0,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw),Normal,plymouth,satellite custom (sw),1,Normal,19
18.0,4.0,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw),Normal,volvo,145e (sw),1,Normal,27
22.0,4.0,121.0,76.0,2511.0,18.0,72,2,volkswagen 411 (sw),Normal,volkswagen,411 (sw),1,Normal,26
21.0,4.0,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw),Normal,peugeot,504 (sw),1,Normal,18
26.0,4.0,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw),Normal,renault,12 (sw),1,Normal,21
22.0,4.0,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw),Normal,ford,pinto (sw),1,Normal,10
28.0,4.0,97.0,92.0,2288.0,17.0,72,3,datsun 510 (sw),Normal,datsun,510 (sw),1,Normal,7
23.0,4.0,120.0,97.0,2506.0,14.5,72,3,toyouta corona mark ii (sw),Normal,toyota,corona mark ii (sw),1,Normal,24
28.0,4.0,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw),Normal,dodge,colt (sw),1,Normal,8
27.0,4.0,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw),Normal,toyota,corolla 1600 (sw),1,Normal,24
13.0,8.0,350.0,175.0,4100.0,13.0,73,1,buick century 350,Normal,buick,century 350,1,Normal,3
14.0,8.0,304.0,150.0,3672.0,11.5,73,1,amc matador,Normal,amc,matador,1,Normal,0
13.0,8.0,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu,Normal,chevrolet,malibu,1,Normal,5
14.0,8.0,302.0,137.0,4042.0,14.5,73,1,ford gran torino,Normal,ford,gran torino,1,Normal,10
15.0,8.0,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom,Normal,dodge,coronet custom,1,Normal,8
13.0,8.0,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic,Normal,chevrolet,caprice classic,1,Normal,5
13.0,8.0,351.0,158.0,4363.0,13.0,73,1,ford ltd,Normal,ford,ltd,1,Normal,10
14.0,8.0,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan,Normal,plymouth,fury gran sedan,1,Normal,19
13.0,8.0,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham,Normal,amc,ambassador brougham,1,Normal,0
18.0,6.0,225.0,105.0,3121.0,16.5,73,1,plymouth valiant,Normal,plymouth,valiant,1,Normal,19
16.0,6.0,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom,Normal,chevrolet,nova custom,1,Normal,5
18.0,6.0,232.0,100.0,2945.0,16.0,73,1,amc hornet,Normal,amc,hornet,1,Normal,0
18.0,6.0,250.0,88.0,3021.0,16.5,73,1,ford maverick,Normal,ford,maverick,1,Normal,10
23.0,6.0,198.0,95.0,2904.0,16.0,73,1,plymouth duster,Normal,plymouth,duster,1,Normal,19
26.0,4.0,97.0,46.0,1950.0,21.0,73,2,volkswagen super beetle,Normal,volkswagen,super beetle,1,Normal,26
11.0,8.0,400.0,150.0,4997.0,14.0,73,1,chevrolet impala,Normal,chevrolet,impala,1,Normal,5
12.0,8.0,400.0,167.0,4906.0,12.5,73,1,ford country,Normal,ford,country,1,Normal,10
13.0,8.0,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb,Normal,plymouth,custom suburb,1,Normal,19
12.0,8.0,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser,Normal,oldsmobile,vista cruiser,1,Normal,16
18.0,6.0,232.0,100.0,2789.0,15.0,73,1,amc gremlin,Normal,amc,gremlin,1,Normal,0
20.0,4.0,97.0,88.0,2279.0,19.0,73,3,toyota carina,Normal,toyota,carina,1,Normal,24
21.0,4.0,140.0,72.0,2401.0,19.5,73,1,chevrolet vega,Normal,chevrolet,vega,1,Normal,5
22.0,4.0,108.0,94.0,2379.0,16.5,73,3,datsun 610,Normal,datsun,610,1,Normal,7
19.0,4.0,122.0,85.0,2310.0,18.5,73,1,ford pinto,Normal,ford,pinto,1,Normal,10
21.0,6.0,155.0,107.0,2472.0,14.0,73,1,mercury capri v6,Normal,mercury,capri v6,1,Normal,14
26.0,4.0,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe,Normal,fiat,124 sport coupe,1,Normal,9
15.0,8.0,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s,Normal,chevrolet,monte carlo s,1,Normal,5
29.0,4.0,68.0,48.99999999999999,1867.0,19.5,73,2,fiat 128,Normal,fiat,128,1,Normal,9
24.0,4.0,116.0,75.0,2158.0,15.5,73,2,opel manta,Normal,opel,manta,1,Normal,17
20.0,4.0,114.0,91.0,2582.0,14.0,73,2,audi 100ls,Normal,audi,100ls,1,Normal,1
19.0,4.0,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,Normal,volvo,144ea,1,Normal,27
15.0,8.0,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,Normal,dodge,dart custom,1,Normal,8
24.0,4.0,121.0,110.0,2660.0,14.0,73,2,saab 99le,Normal,saab,99le,1,Normal,22
20.0,6.0,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,Normal,toyota,mark ii,1,Normal,24
11.0,8.0,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,Normal,oldsmobile,omega,1,Normal,16
20.0,6.0,198.0,95.0,3102.0,16.5,74,1,plymouth duster,Normal,plymouth,duster,1,Normal,19
21.0,6.0,200.0,88.0,2875.0,17.0,74,1,ford maverick,Normal,ford,maverick,1,Normal,10
19.0,6.0,232.0,100.0,2901.0,16.0,74,1,amc hornet,Normal,amc,hornet,1,Normal,0
15.0,6.0,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,Normal,chevrolet,nova,1,Normal,5
31.0,4.0,79.0,67.0,1950.0,19.0,74,3,datsun b210,Normal,datsun,b210,1,Normal,7
26.0,4.0,122.0,80.0,2451.0,16.5,74,1,ford pinto,Normal,ford,pinto,1,Normal,10
32.0,4.0,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,Normal,toyota,corolla 1200,1,Normal,24
25.0,4.0,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,Normal,chevrolet,vega,1,Normal,5
16.0,6.0,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,Normal,chevrolet,chevelle malibu classic,1,Normal,5
16.0,6.0,258.0,110.0,3632.0,18.0,74,1,amc matador,Normal,amc,matador,1,Normal,0
18.0,6.0,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,Normal,plymouth,satellite sebring,1,Normal,19
16.0,8.0,302.0,140.0,4141.0,14.0,74,1,ford gran torino,Normal,ford,gran torino,1,Normal,10
13.0,8.0,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),Normal,buick,century luxus (sw),1,Normal,3
14.0,8.0,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),Normal,dodge,coronet custom (sw),1,Normal,8
14.0,8.0,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),Normal,ford,gran torino (sw),1,Normal,10
14.0,8.0,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),Normal,amc,matador (sw),1,Normal,0
29.0,4.0,98.0,83.0,2219.0,16.5,74,2,audi fox,Normal,audi,fox,1,Normal,1
26.0,4.0,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,Normal,volkswagen,dasher,1,Normal,26
26.0,4.0,97.0,78.0,2300.0,14.5,74,2,opel manta,Normal,opel,manta,1,Normal,17
31.0,4.0,76.0,52.0,1649.0,16.5,74,3,toyota corona,Normal,toyota,corona,1,Normal,24
32.0,4.0,83.00000000000001,61.0,2003.0,19.0,74,3,datsun 710,Normal,datsun,710,1,Normal,7
28.0,4.0,90.0,75.0,2125.0,14.5,74,1,dodge colt,Normal,dodge,colt,1,Normal,8
24.0,4.0,90.0,75.0,2108.0,15.5,74,2,fiat 128,Normal,fiat,128,1,Normal,9
26.0,4.0,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,Normal,fiat,124 tc,1,Normal,9
24.0,4.0,120.0,97.0,2489.0,15.0,74,3,honda civic,Normal,honda,civic,1,Normal,11
26.0,4.0,108.0,93.0,2391.0,15.5,74,3,subaru,Normal,subaru,,1,Normal,23
31.0,4.0,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,Normal,fiat,x1.9,1,Normal,9
19.0,6.0,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,Normal,plymouth,valiant custom,1,Normal,19
18.0,6.0,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,Normal,chevrolet,nova,1,Normal,5
15.0,6.0,250.0,72.0,3432.0,21.0,75,1,mercury monarch,Normal,mercury,monarch,1,Normal,14
15.0,6.0,250.0,72.0,3158.0,19.5,75,1,ford maverick,Normal,ford,maverick,1,Normal,10
16.0,8.0,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,Normal,pontiac,catalina,1,Normal,20
15.0,8.0,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,Normal,chevrolet,bel air,1,Normal,5
16.0,8.0,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,Normal,plymouth,grand fury,1,Normal,19
14.0,8.0,351.0,148.0,4657.0,13.5,75,1,ford ltd,Normal,ford,ltd,1,Normal,10
17.0,6.0,231.0,110.0,3907.0,21.0,75,1,buick century,Normal,buick,century,1,Normal,3
16.0,6.0,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu,Normal,chevrolet,chevelle malibu,1,Normal,5
15.0,6.0,258.0,110.0,3730.0,19.0,75,1,amc matador,Normal,amc,matador,1,Normal,0
18.0,6.0,225.0,95.0,3785.0,19.0,75,1,plymouth fury,Normal,plymouth,fury,1,Normal,19
21.0,6.0,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,Normal,buick,skyhawk,1,Normal,3
20.0,8.0,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,Normal,chevrolet,monza 2+2,1,Normal,5
13.0,8.0,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,Normal,ford,mustang ii,1,Normal,10
29.0,4.0,97.0,75.0,2171.0,16.0,75,3,toyota corolla,Normal,toyota,corolla,1,Normal,24
23.0,4.0,140.0,83.0,2639.0,17.0,75,1,ford pinto,Normal,ford,pinto,1,Normal,10
20.0,6.0,232.0,100.0,2914.0,16.0,75,1,amc gremlin,Normal,amc,gremlin,1,Normal,0
23.0,4.0,140.0,78.0,2592.0,18.5,75,1,pontiac astro,Normal,pontiac,astro,1,Normal,20
24.0,4.0,134.0,96.0,2702.0,13.5,75,3,toyota corona,Normal,toyota,corona,1,Normal,24
25.0,4.0,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,Normal,volkswagen,dasher,1,Normal,26
24.0,4.0,119.0,97.0,2545.0,17.0,75,3,datsun 710,Normal,datsun,710,1,Normal,7
18.0,6.0,171.0,97.0,2984.0,14.5,75,1,ford pinto,Normal,ford,pinto,1,Normal,10
29.0,4.0,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,Normal,volkswagen,rabbit,1,Normal,26
19.0,6.0,232.0,90.0,3211.0,17.0,75,1,amc pacer,Normal,amc,pacer,1,Normal,0
23.0,4.0,115.0,95.0,2694.0,15.0,75,2,audi 100ls,Normal,audi,100ls,1,Normal,1
23.0,4.0,120.0,88.0,2957.0,17.0,75,2,peugeot 504,Normal,peugeot,504,1,Normal,18
22.0,4.0,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,Normal,volvo,244dl,1,Normal,27
25.0,4.0,121.0,115.0,2671.0,13.5,75,2,saab 99le,Normal,saab,99le,1,Normal,22
33.0,4.0,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,Normal,honda,civic cvcc,1,Normal,11
28.0,4.0,107.0,86.0,2464.0,15.5,76,2,fiat 131,Normal,fiat,131,1,Normal,9
25.0,4.0,116.0,81.0,2220.0,16.9,76,2,opel 1900,Normal,opel,1900,1,Normal,17
25.0,4.0,140.0,92.0,2572.0,14.9,76,1,capri ii,Normal,mercury,ii,1,Normal,14
26.0,4.0,98.0,79.0,2255.0,17.7,76,1,dodge colt,Normal,dodge,colt,1,Normal,8
27.0,4.0,101.0,83.0,2202.0,15.3,76,2,renault 12tl,Normal,renault,12tl,1,Normal,21
17.5,8.0,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,Normal,chevrolet,chevelle malibu classic,1,Normal,5
16.0,8.0,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,Normal,dodge,coronet brougham,1,Normal,8
15.5,8.0,304.0,120.0,3962.0,13.9,76,1,amc matador,Normal,amc,matador,1,Normal,0
14.5,8.0,351.0,152.0,4215.0,12.8,76,1,ford gran torino,Normal,ford,gran torino,1,Normal,10
22.0,6.0,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,Normal,plymouth,valiant,1,Normal,19
22.0,6.0,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,Normal,chevrolet,nova,1,Normal,5
24.0,6.0,200.0,81.0,3012.0,17.6,76,1,ford maverick,Normal,ford,maverick,1,Normal,10
22.5,6.0,232.0,90.0,3085.0,17.6,76,1,amc hornet,Normal,amc,hornet,1,Normal,0
29.0,4.0,85.00000000000001,52.0,2035.0,22.2,76,1,chevrolet chevette,Normal,chevrolet,chevette,1,Normal,5
24.5,4.0,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,Normal,chevrolet,woody,1,Normal,5
29.0,4.0,90.0,70.0,1937.0,14.2,76,2,vw rabbit,Normal,volkswagen,rabbit,1,Normal,26
33.0,4.0,91.0,53.0,1795.0,17.4,76,3,honda civic,Normal,honda,civic,1,Normal,11
20.0,6.0,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,Normal,dodge,aspen se,1,Normal,8
18.0,6.0,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,Normal,ford,granada ghia,1,Normal,10
18.5,6.0,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,Normal,pontiac,ventura sj,1,Normal,20
17.5,6.0,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,Normal,amc,pacer d/l,1,Normal,0
29.5,4.0,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,Normal,volkswagen,rabbit,1,Normal,26
32.0,4.0,85.00000000000001,70.0,1990.0,17.0,76,3,datsun b-210,Normal,datsun,b-210,1,Normal,7
28.0,4.0,97.0,75.0,2155.0,16.4,76,3,toyota corolla,Normal,toyota,corolla,1,Normal,24
26.5,4.0,140.0,72.0,2565.0,13.6,76,1,ford pinto,Normal,ford,pinto,1,Normal,10
20.0,4.0,130.0,102.0,3150.0,15.7,76,2,volvo 245,Normal,volvo,245,1,Normal,27
13.0,8.0,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,Normal,plymouth,volare premier v8,1,Normal,19
19.0,4.0,120.0,88.0,3270.0,21.9,76,2,peugeot 504,Normal,peugeot,504,1,Normal,18
19.0,6.0,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,Normal,toyota,mark ii,1,Normal,24
16.5,6.0,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,Normal,mercedes,280s,1,Normal,13
16.5,8.0,350.0,180.0,4380.0,12.1,76,1,cadillac seville,Normal,cadillac,seville,1,Normal,4
13.0,8.0,350.0,145.0,4055.0,12.0,76,1,chevy c10,Normal,chevrolet,c10,1,Normal,5
13.0,8.0,302.0,130.0,3870.0,15.0,76,1,ford f108,Normal,ford,f108,1,Normal,10
13.0,8.0,318.0,150.0,3755.0,14.0,76,1,dodge d100,Normal,dodge,d100,1,Normal,8
31.5,4.0,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,Normal,honda,accord cvcc,1,Normal,11
30.0,4.0,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,Normal,buick,opel isuzu deluxe,1,Normal,3
36.0,4.0,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,Normal,renault,5 gtl,1,Normal,21
25.5,4.0,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,Normal,plymouth,arrow gs,1,Normal,19
33.5,4.0,85.00000000000001,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,Normal,datsun,f-10 hatchback,1,Normal,7
17.5,8.0,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,Normal,chevrolet,caprice classic,1,Normal,5
17.0,8.0,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,Normal,oldsmobile,cutlass supreme,1,Normal,16
15.5,8.0,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,Normal,dodge,monaco brougham,1,Normal,8
15.0,8.0,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,Normal,mercury,cougar brougham,1,Normal,14
17.5,6.0,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,Normal,chevrolet,concours,1,Normal,5
20.5,6.0,231.0,105.0,3425.0,16.9,77,1,buick skylark,Normal,buick,skylark,1,Normal,3
19.0,6.0,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,Normal,plymouth,volare custom,1,Normal,19
18.5,6.0,250.0,98.0,3525.0,19.0,77,1,ford granada,Normal,ford,granada,1,Normal,10
16.0,8.0,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,Normal,pontiac,grand prix lj,1,Normal,20
15.5,8.0,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,Normal,chevrolet,monte carlo landau,1,Normal,5
15.5,8.0,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,Normal,chrysler,cordoba,1,Normal,6
16.0,8.0,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,Normal,ford,thunderbird,1,Normal,10
29.0,4.0,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,Normal,volkswagen,rabbit custom,1,Normal,26
24.5,4.0,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,Normal,pontiac,sunbird coupe,1,Normal,20
26.0,4.0,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,Normal,toyota,corolla liftback,1,Normal,24
25.5,4.0,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,Normal,ford,mustang ii 2+2,1,Normal,10
30.5,4.0,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,Normal,chevrolet,chevette,1,Normal,5
33.5,4.0,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,Normal,dodge,colt m/m,1,Normal,8
30.0,4.0,97.0,67.0,1985.0,16.4,77,3,subaru dl,Normal,subaru,dl,1,Normal,23
30.5,4.0,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,Normal,volkswagen,dasher,1,Normal,26
22.0,6.0,146.0,97.0,2815.0,14.5,77,3,datsun 810,Normal,datsun,810,1,Normal,7
21.5,4.0,121.0,110.0,2600.0,12.8,77,2,bmw 320i,Normal,bmw,320i,1,Normal,2
21.5,3.0,80.00000000000001,110.0,2720.0,13.5,77,3,mazda rx-4,Normal,mazda,rx-4,1,Normal,12
43.1,4.0,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,Normal,volkswagen,rabbit custom diesel,1,Normal,26
36.1,4.0,98.0,66.0,1800.0,14.4,78,1,ford fiesta,Normal,ford,fiesta,1,Normal,10
32.8,4.0,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,Normal,mazda,glc deluxe,1,Normal,12
39.4,4.0,85.00000000000001,70.0,2070.0,18.6,78,3,datsun b210 gx,Normal,datsun,b210 gx,1,Normal,7
36.1,4.0,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,Normal,honda,civic cvcc,1,Normal,11
19.9,8.0,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,Normal,oldsmobile,cutlass salon brougham,1,Normal,16
